Repo Link,Rating,Pros,Cons,Best Thing About The Project,Bad Thing,1 Highlight
https://github.com/ankuromen/incubyte-salary-management,9.8,Elite documentation set; strong automated test breadth; complete end-to-end delivery with deploy/demo artifacts,Adds auth/scope beyond the brief; slightly more moving parts than a lean MVP needs,"Best overall reviewer experience: architecture, trade-offs, performance notes, AI prompts, tests, and deployment notes all exist",A bit overbuilt for a single-HR-manager product brief,"39+ backend tests, 19+ frontend tests, deployment guide, demo script, and performance notes"
https://github.com/nehagoel-dev/incubyte-salary-management,9.4,Balanced full-stack delivery; live demo/deploy path; good test and layering signals,Cloud database setup adds friction; infra is heavier than the brief really requires,"Very balanced execution across product framing, code structure, and reviewer docs",Local setup depends on external Supabase credentials,"Live demo plus requirements, architecture, and AI notes with mocked test strategy"
https://github.com/shuklaksh/Incubyte-Assignment,9.3,Strong single-app full-stack shape; unusually strong automated tests; clear TDD narrative,Needs external Neon DB setup; reviewer must read the docs to see the internal boundaries clearly,"123-test suite around API flows, bulk salary operations, and export is a standout signal",More infrastructure setup than a SQLite-first assessment needed,"Next.js monolith with Prisma, CSV export, bulk salary APIs, and detailed TDD commit order"
https://github.com/karan-jadhav/incubyte-assesment,9.2,Production-minded full-stack build; strong docs; Docker and deployment story are excellent,Tooling stack is quite heavy; operations complexity is higher than necessary for the brief,Most deployment-ready ops story in the set,Complexity tax is higher for a reviewer who just wants a quick local run,"FastAPI + React with Docker, Traefik, live domain, and AI/docs artifacts"
https://github.com/rakshit-dhingra/salary_management_api,9.0,Polished Rails API + React front-end; demo video and screenshots; thoughtful performance framing,Analytics/reporting are stronger than broader HR workflows; repo name undersells the frontend,"Very reviewer-friendly README with screenshots, demo, and performance notes",Less breadth in workflow coverage than the top few submissions,"Demo video, screenshots, 80% coverage badge, and SQL-first analytics story"
https://github.com/ag1224/salary-management-incubyte,8.9,Strong full-stack implementation; Dockerized setup; good test and seed story,Docs are good but not as differentiated as the very top repos,"Good balance of runnable product, architecture, and test evidence",Less memorable reviewer narrative than the very strongest entries,"FastAPI + React with Docker compose, analytics charts, and deterministic seed"
https://github.com/subhamsharma-dev/salary-management-incubyte,8.8,Strong implementation depth; very good test signal; practical full-stack split,README undersells the work; deployment/demo proof is not as prominent as it could be,The test footprint gives confidence that the code was exercised meaningfully,Reviewer storytelling is thinner than the code quality suggests,26 test files across a split backend/frontend build with supporting artifacts
https://github.com/Akhtar-18/incubyte-salary-management-app,8.6,Comprehensive README; clear full-stack shape; modern Prisma-backed implementation,Verbose docs are not always distilled into crisp decisions; no strong live demo signal,Ambition and breadth are clearly visible from the root repo,Trade-offs could be surfaced more sharply,Express + Prisma + React/Vite with documented bulk and export workflows
https://github.com/aakash-thedev/salary-management-incubyte,8.4,Strong docs set; full-stack split; deployment intent is visible; solid product framing,Test signal is lighter than the strongest candidates,Good reviewer artifacts and planning notes,Automation quality bar looks lighter than the top tier,"Docs, planning artifacts, and render.yaml give reviewers a clean story"
https://github.com/agodse21/incubyte-salary-management-tool,8.4,Good full-stack scope; docs folder; Vercel and docker-compose signals; decent tests,Repo structure feels a bit scattered across api/client/server folders; README is short,Practical delivery mindset with both deployment and documentation evidence,Information architecture is not as crisp as top-tier submissions,"api + client + server layout with docs, docker-compose, and Vercel config"
https://github.com/Amanpawar18/incubyte-salary-management-may-26,8.4,Good docs; tests; workflow files; clean split structure,Backend story is less obvious from the root README; setup still feels multi-step,Nice balance of documentation and implementation,Could surface the backend design more clearly,"Workflow files, docs, Vitest coverage, and full-stack split layout"
https://github.com/AdityaYInamdar/salary-management,8.2,Clean structure; tests; docs; modern Next-based frontend,Less deployment/demo evidence than stronger peers,"Balanced, readable full-stack repo",Does not create a strong reviewer wow moment,Backend + frontend + docs with tests and a modern UI stack
https://github.com/deve1212/incubyte-salary-management-system,8.1,Clearly split API/UI structure; docs are present; test signal is respectable,README is concise to a fault; reviewer narrative could be stronger,Solid completeness without overcomplication,Positioning and documentation polish lag behind implementation,Separate employee-salary-api and employee-salary-ui packages with docs
https://github.com/Raksha22/Incubyte-salary-management-hr-portal,8.0,Full-stack Rails + React flavor; useful artifacts folder; good local-first framing,Root packaging is less polished than the artifact quality; demo/deploy proof is limited,Assessment artifacts are explicitly called out and easy to find,The root README could sell the finished product better,"Artifacts folder for architecture, trade-offs, and AI workflow"
https://github.com/pranab1995/Incubyte-Salary-Management,7.9,End-to-end UI + backend delivery; Decent automated test coverage,"No major red flag, but it does not clearly separate itself from the strongest submissions",End-to-end completeness,It lacks a standout differentiator compared with the top group,End-to-end stack coverage is present
https://github.com/knerav/incubyte_salary_management_app_frontend,7.8,Excellent design/docs set; very good test signal; strong frontend craftsmanship,Standalone repo is incomplete without the paired backend repo,One of the strongest documentation-first submissions in the set,Review burden goes up because the solution is split across repos,"Event storm, API contract, architecture decisions, and testing strategy docs stand out"
https://github.com/aman-2896/salary_management_test,7.7,End-to-end UI + backend delivery; Reviewer-friendly docs/artifacts,"No major red flag, but it does not clearly separate itself from the strongest submissions",Clear design and trade-off documentation,It lacks a standout differentiator compared with the top group,End-to-end stack coverage is present
https://github.com/knerav/incubyte_salary_management_app_backend,7.6,Excellent design docs; very strong test signal; clear backend craftsmanship,Backend-only standalone repo is incomplete for this assignment; depends on the paired frontend repo,Design thinking is unusually explicit and mature,As a standalone repo it does not satisfy the end-to-end expectation,"Event storm, data model, API contract, and architecture docs are unusually thoughtful"
https://github.com/gajendra945/incubyte-salary-management,7.3,Full-stack split; planning and AI-prompt artifacts show intent,Test signal is thin; README and reviewer polish are lighter than stronger peers,Planning breadcrumbs help reviewers understand the thought process,Execution quality signal is weaker than the artifact signal,planning.md and ai-prompts.md are useful reviewer breadcrumbs
https://github.com/skfaiz1930/Incubyte-Salary-Management-Assignment,7.1,Very polished backend engineering docs; strong test and tooling hygiene; clean architecture framing,Backend-only relative to the brief; README is more API-focused than product-focused,Excellent backend craftsmanship and documentation discipline,Misses the UI/product half of the assignment,"Commitlint, lint-staged, Jest coverage, and unusually thorough backend README"
https://github.com/RaviBhalani/incubyte-salary-management-backend-service,6.9,Strong backend test signal; good documentation footprint; Dockerized service setup,Backend-only repository; UI side of the assignment is missing,Serious backend engineering hygiene is visible,Not an end-to-end submission by itself,High backend test count plus Docker and docs
https://github.com/sameer-prajapati/incubyte-salary-management,6.8,End-to-end UI + backend delivery,Very thin onboarding/docs; No obvious public demo or artifact depth,End-to-end completeness,It lacks a standout differentiator compared with the top group,End-to-end stack coverage is present
https://github.com/shivani2001-art/incubyte-salary-management-api,6.8,Clear backend implementation focus; Strong automated test signal; Reviewer-friendly docs/artifacts,Misses the UI side of the assignment,Meaningful automated testing,It does not satisfy the backend + UI expectation on its own,Includes public demo or deployment evidence
https://github.com/varjangn/incubyte-sm,6.8,Split full-stack layout; better test signal than the presentation suggests,No README; the reviewer has to reverse-engineer the repo structure,There seems to be more substance here than the presentation suggests,Presentation is weak relative to the implementation effort,10 test files despite zero root documentation
https://github.com/Harishkalode/Incubyte-Salary-Management-Kata,6.7,Clear backend implementation focus; Decent automated test coverage; Reviewer-friendly docs/artifacts,Misses the UI side of the assignment,"Live, reviewer-friendly product presentation",It does not satisfy the backend + UI expectation on its own,Includes public demo or deployment evidence
https://github.com/sumitsourav/salary_management,6.7,Clear backend implementation focus; Decent automated test coverage; Reviewer-friendly docs/artifacts,Misses the UI side of the assignment,Clear design and trade-off documentation,It does not satisfy the backend + UI expectation on its own,Includes public demo or deployment evidence
https://github.com/divyautukuri-alt/incubyte-sm-kata-divya-utukuri,6.5,Clear backend implementation focus; Decent automated test coverage; Reviewer-friendly docs/artifacts,Misses the UI side of the assignment,"Live, reviewer-friendly product presentation",It does not satisfy the backend + UI expectation on its own,Includes public demo or deployment evidence
https://github.com/gauravnarang1996/incubyte-salary-management,6.4,Actual frontend/backend split is present; some test signal exists,No root README; very little reviewer onboarding; weak submission framing,There appears to be real implementation under the hood,Missing top-level documentation makes the repo much harder to review,"Next.js frontend paired with a backend folder, but almost no reviewer guidance"
https://github.com/MittalPatel-91/salary_management_incubyte,6.4,Clear backend implementation focus; Decent automated test coverage; Reviewer-friendly docs/artifacts,Misses the UI side of the assignment,"Live, reviewer-friendly product presentation",It does not satisfy the backend + UI expectation on its own,Includes public demo or deployment evidence
https://github.com/devansh308/incubyte-sm-kata-devansh308-public,6.2,Clear backend implementation focus; Decent automated test coverage; Reviewer-friendly docs/artifacts,Misses the UI side of the assignment; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Dockerized setup lowers reviewer friction
https://github.com/imlakshay08/incubyte-salary-management-kata,6.2,Clear backend implementation focus; Decent automated test coverage; Reviewer-friendly docs/artifacts,Misses the UI side of the assignment,"Live, reviewer-friendly product presentation",It does not satisfy the backend + UI expectation on its own,Includes public demo or deployment evidence
https://github.com/omkarkakade2680/incubyte-salary-management-kata,6.2,Clear backend implementation focus; Decent automated test coverage; Reviewer-friendly docs/artifacts,Misses the UI side of the assignment; No obvious public demo or artifact depth,Solid implementation focus in its chosen scope,It does not satisfy the backend + UI expectation on its own,Dockerized setup lowers reviewer friction
https://github.com/RyuHaru007/incubyte,6.1,Clear backend implementation focus; Decent automated test coverage; Demo/deploy evidence exists,Misses the UI side of the assignment,"Live, reviewer-friendly product presentation",It does not satisfy the backend + UI expectation on its own,Includes public demo or deployment evidence
